Province/State,Country/Region,Lat,Long,date,confirmed,datetime,death,recovered
New South Wales,Australia,-33.8688,151.2093,2020-01-21,0,2020-01-21T21:00:00Z,0,0
New South Wales,Australia,-33.8688,151.2093,2020-01-22,0,2020-01-22T11:00:00Z,0,0
New South Wales,Australia,-33.8688,151.2093,2020-01-23,0,2020-01-23T23:00:00Z,0,0
New South Wales,Australia,-33.8688,151.2093,2020-01-24,0,2020-01-24T23:00:00Z,0,0
New South Wales,Australia,-33.8688,151.2093,2020-01-25,0,2020-01-25T21:00:00Z,0,0
New South Wales,Australia,-33.8688,151.2093,2020-01-26,3,2020-01-26T22:00:00Z,0,0
New South Wales,Australia,-33.8688,151.2093,2020-01-27,4,2020-01-27T19:30:00Z,0,0
New South Wales,Australia,-33.8688,151.2093,2020-01-28,4,2020-01-28T22:00:00Z,0,0
New South Wales,Australia,-33.8688,151.2093,2020-01-29,4,2020-01-29T20:00:00Z,0,0
New South Wales,Australia,-33.8688,151.2093,2020-01-30,4,2020-01-30T10:00:00Z,0,0
New South Wales,Australia,-33.8688,151.2093,2020-01-31,4,2020-01-31T13:00:00Z,0,0
New South Wales,Australia,-33.8688,151.2093,2020-02-01,4,2020-02-01T09:00:00Z,0,2
New South Wales,Australia,-33.8688,151.2093,2020-02-02,4,2020-02-02T20:00:00Z,0,2
New South Wales,Australia,-33.8688,151.2093,2020-02-03,4,2020-02-03T20:00:00Z,0,2
New South Wales,Australia,-33.8688,151.2093,2020-02-04,4,2020-02-04T21:00:00Z,0,2
New South Wales,Australia,-33.8688,151.2093,2020-02-05,4,2020-02-05T22:00:00Z,0,2
New South Wales,Australia,-33.8688,151.2093,2020-02-06,4,2020-02-06T13:20:00Z,0,2
New South Wales,Australia,-33.8688,151.2093,2020-02-07,4,2020-02-07T21:50:00Z,0,2
New South Wales,Australia,-33.8688,151.2093,2020-02-08,4,2020-02-08T22:04:00Z,0,2
New South Wales,Australia,-33.8688,151.2093,2020-02-09,4,2020-02-09T22:20:00Z,0,2
New South Wales,Australia,-33.8688,151.2093,2020-02-10,4,2020-02-10T10:00:00Z,0,2
Queensland,Australia,-27.4698,153.0251,2020-01-21,0,2020-01-21T21:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-01-22,0,2020-01-22T11:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-01-23,0,2020-01-23T23:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-01-24,0,2020-01-24T23:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-01-25,0,2020-01-25T21:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-01-26,0,2020-01-26T22:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-01-27,0,2020-01-27T19:30:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-01-28,0,2020-01-28T22:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-01-29,1,2020-01-29T20:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-01-30,2,2020-01-30T10:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-01-31,2,2020-01-31T13:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-02-01,2,2020-02-01T09:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-02-02,2,2020-02-02T20:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-02-03,2,2020-02-03T20:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-02-04,3,2020-02-04T21:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-02-05,4,2020-02-05T22:00:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-02-06,4,2020-02-06T13:20:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-02-07,5,2020-02-07T21:50:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-02-08,5,2020-02-08T22:04:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-02-09,5,2020-02-09T22:20:00Z,0,0
Queensland,Australia,-27.4698,153.0251,2020-02-10,5,2020-02-10T10:00:00Z,0,0
South Australia,Australia,-34.9285,138.6007,2020-01-21,0,2020-01-21T21:00:00Z,0,0
South Australia,Australia,-34.9285,138.6007,2020-01-22,0,2020-01-22T11:00:00Z,0,0
South Australia,Australia,-34.9285,138.6007,2020-01-23,0,2020-01-23T23:00:00Z,0,0
South Australia,Australia,-34.9285,138.6007,2020-01-24,0,2020-01-24T23:00:00Z,0,0
